---Item List as of 04/09/2009---
Tools: POLutils (thanks Pebbles)
Organizer: Blasingame

Notes: If you find any missing items on this list please notify dev or myself on http://www.projectxi.org/forums/.

Table of Contents:
1. General Items	[GI1]
0000358A (13706)	ogre gloves
0000358B (13707)	strong vest
0000358C (13708)	ogre ledelsens
0000358D (13709)	cuir bouilli +1
0000358E (13710)	brigandine armor +1
0000358F (13711)	carapace mask
00003590 (13712)	carapace harness
00003591 (13713)	carapace mittens
00003592 (13714)	carapace harness +1
00003593 (13715)	carapace leggings
00003594 (13716)	bone harness +1
00003595 (13717)	beetle harness +1
00003596 (13718)	Royal Footman's tunic
00003597 (13719)	Royal Squire's robe
00003598 (13720)	Royal Knight's cloak
00003599 (13721)	Iron Musketeer's gambison
0000359A (13722)	Royal Knight's aketon
0000359B (13723)	pyro robe
0000359C (13724)	breastplate +1
0000359D (13725)	mage's tunic
0000359E (13726)	mage's robe
0000359F (13727)	dino jerkin
000035A0 (13728)	jujitsu gi
000035A1 (13729)	priest's robe
000035A2 (13730)	frost robe
000035A3 (13731)	faerie tunic
000035A4 (13732)	earth doublet
000035A5 (13733)	shinobi gi +1
000035A6 (13734)	scorpion harness +1
000035A7 (13735)	haubergeon +1
000035A9 (13737)	mythril breastplate +1
000035AA (13738)	gilt cuirass
000035AB (13739)	beak jerkin +1
000035AC (13740)	byrnie
000035AD (13741)	byrnie +1
000035AE (13742)	aketon
000035AF (13743)	aketon +1
000035B0 (13744)	justaucorps
000035B1 (13745)	justaucorps +1
000035B2 (13746)	gem cuirass
000035B3 (13747)	gavial mail +1
000035B4 (13748)	vermillion cloak
000035B5 (13749)	royal cloak
000035B6 (13750)	linen doublet
000035B7 (13751)	linen doublet +1
000035B8 (13752)	wool doublet
000035B9 (13753)	wool doublet +1
000035BA (13754)	black cotehardie
000035BB (13755)	flora cotehardie
000035BC (13756)	darksteel cuirass +1
000035BD (13757)	lord's cuirass
000035BE (13758)	king's cuirass
000035C1 (13761)	coral scale mail +1
000035C2 (13762)	dragon mail +1
000035C3 (13763)	feral jerkin
000035C4 (13764)	torama jerkin
000035C5 (13765)	darksteel harness +1
000035C6 (13766)	merman's harness
000035C7 (13767)	demon's harness
000035C8 (13768)	demon's harness +1
000035C9 (13769)	hara-ate +1
000035CA (13770)	war shinobi gi +1
000035CB (13771)	war aketon +1
000035CC (13772)	bloody aketon
000035CD (13773)	carnage aketon
000035CE (13774)	aristocrat's coat
000035CF (13775)	blue cotehardie
000035D0 (13776)	blue cotehardie +1
000035D1 (13777)	silk cloak +1
000035D3 (13779)	black cloak
000035D4 (13780)	demon's cloak
000035D5 (13781)	myochin domaru
000035D6 (13782)	ninja chainmail
000035D7 (13783)	iron scale mail
000035D8 (13784)	iron scale mail +1
000035D9 (13785)	steel scale mail
000035DA (13786)	steel scale mail +1
000035DB (13787)	dalmatica
000035DC (13788)	dalmatica +1
000035DD (13789)	carapace breastplate
000035DE (13790)	carapace breastplate +1
000035E1 (13793)	hauberk +1
000035E2 (13794)	heavy cuirass
000035E3 (13795)	arhat's gi
000035E4 (13796)	bishop's robe
000035E5 (13797)	bishop's robe +1
000035E6 (13798)	gaia doublet
000035E7 (13799)	gaia doublet +1
000035E8 (13800)	master's gi
000035E9 (13801)	master's gi +1
000035EA (13802)	arhat's gi +1
000035EB (13803)	shaman's cloak
000035EC (13804)	minstrel's coat
000035ED (13805)	assault jerkin
000035EE (13806)	vagabond's tunica
000035EF (13807)	nomad's tunica
000035F0 (13808)	fisherman's tunica
000035F1 (13809)	angler's tunica
000035F2 (13810)	chocobo jack coat
000035F3 (13811)	rider's jack coat
000035F4 (13812)	holy breastplate
000035F5 (13813)	divine breastplate
000035F6 (13814)	austere robe
000035F7 (13815)	penance robe
000035F8 (13816)	Narasimha's vest
000035F9 (13817)	Vishnu's vest
000035FA (13818)	garrison tunica
000035FB (13819)	onoko yukata
000035FC (13820)	omina yukata
000035FD (13821)	lord's yukata
000035FE (13822)	lady's yukata
000035FF (13823)	Regen cuirass
00003600 (13824)	strong bandana
00003601 (13825)	bone hairpin +1
00003602 (13826)	bone mask +1
00003603 (13827)	beetle mask +1
00003604 (13828)	horn hairpin +1
00003605 (13829)	carapace mask +1
00003606 (13830)	Legionnaire's circlet
00003607 (13831)	sallet +1
00003608 (13832)	banded helm +1
00003609 (13833)	noble's ribbon
0000360A (13834)	mage's hat
0000360B (13835)	dino helm
0000360C (13836)	shell hairpin +1
0000360D (13837)	bonze's circlet
0000360E (13838)	dodge headband
0000360F (13839)	marine hat
00003610 (13840)	electrum hairpin
00003611 (13841)	valkyrie's mask
00003612 (13842)	Tavnazian mask
00003613 (13843)	silk hat +1
00003614 (13844)	shinobi hachigane +1
00003615 (13845)	celata +1
00003616 (13846)	scorpion helm
00003617 (13847)	mythril sallet +1
00003618 (13848)	gilt armet
00003619 (13849)	gold hairpin +1
0000361A (13850)	merman's hairpin
0000361B (13851)	silk headband +1
0000361E (13854)	green ribbon +1
0000361F (13855)	healer's cap
00003620 (13856)	wizard's petasos
00003621 (13857)	choral roundlet
00003622 (13858)	prism headband
00003623 (13859)	coral visor +1
00003624 (13860)	dragon mask +1
00003625 (13861)	feral helm
00003626 (13862)	torama mask
00003627 (13863)	darksteel cap +1
00003628 (13864)	merman's cap
00003629 (13865)	zunari kabuto +1
0000362A (13866)	green beret +1
0000362B (13867)	war beret +1
0000362C (13868)	myochin kabuto
0000362D (13869)	ninja hatsuburi
0000362E (13870)	Opo-opo crown
0000362F (13871)	iron visor
00003630 (13872)	iron visor +1
00003631 (13873)	steel visor
00003632 (13874)	steel visor +1
00003633 (13875)	monsoon jinpachi
00003634 (13876)	zenith crown
00003635 (13877)	zenith crown +1
00003636 (13878)	carapace helm
00003637 (13879)	carapace helm +1
00003638 (13880)	Presidential hairpin
00003639 (13881)	arhat's jinpachi
0000363A (13882)	corsair's hat
0000363B (13883)	corsair's hat +1
0000363C (13884)	jester's headband
0000363D (13885)	juggler's headband
0000363E (13886)	arhat's jinpachi +1
0000363F (13887)	black sallet
00003640 (13888)	onyx sallet
00003641 (13889)	Bastokan cap
00003642 (13890)	Republic cap
00003643 (13891)	San d'Orian helm
00003644 (13892)	Kingdom helm
00003645 (13893)	Iron Musketeer's armet +1
00003646 (13894)	Iron Musketeer's armet +2
00003647 (13895)	San d'Orian bandana
00003648 (13896)	Kingdom bandana
00003649 (13897)	Bastokan visor
0000364A (13898)	Republic visor
0000364B (13899)	Bastokan circlet
0000364C (13900)	Republic circlet
0000364D (13901)	Windurstian hachimaki
0000364E (13902)	Federation hachimaki
0000364F (13903)	Windurstian headgear
00003650 (13904)	Federation headgear
00003651 (13905)	Tactician Magician's hat +1
00003652 (13906)	Tactician Magician's hat +2
00003653 (13907)	ogre mask +1
00003654 (13908)	crimson mask
00003655 (13909)	blood mask
00003656 (13910)	roshi jinpachi
00003657 (13911)	kaiser schaller
00003658 (13912)	shadow mask
00003659 (13913)	mushroom helm
0000365A (13914)	Aegishjalmr
0000365B (13915)	optical hat
0000365C (13916)	pumpkin head
0000365D (13917)	horror head
0000365E (13918)	tiger mask
0000365F (13919)	feral mask
00003660 (13920)	wyvern helm
00003661 (13921)	wyvern helm +1
00003662 (13922)	demon helm
00003663 (13923)	demon helm +1
00003664 (13924)	armada celata
00003665 (13925)	rasetsu jinpachi
00003666 (13926)	rasetsu jinpachi +1
00003667 (13927)	hecatomb cap
00003668 (13928)	hecatomb cap +1
00003669 (13929)	errant hat
0000366A (13930)	mahatma hat
0000366B (13931)	lilac corsage
0000366C (13932)	gala corsage
0000366D (13933)	bridal corsage
0000366E (13934)	shura zunari kabuto
0000366F (13935)	shura zunari kabuto +1
00003670 (13936)	dragon cap
00003671 (13937)	dragon cap +1
00003672 (13938)	dusk mask +1
00003673 (13939)	austere hat
00003674 (13940)	penance hat
00003675 (13941)	gem barbuta
00003676 (13942)	panther mask
00003677 (13943)	panther mask +1
00003678 (13944)	gavial mask +1
00003679 (13945)	shaded spectacles
0000367A (13946)	magnifying spectacles
0000367B (13947)	protective spectacles
0000367C (13948)	chef's hat
0000367D (13949)	roshi jinpachi +1
0000367E (13950)	elite beret
0000367F (13951)	elite beret +1
00003680 (13952)	ochiudo's kote
00003681 (13953)	white mitts +1
00003682 (13954)	silk cuffs +1
00003683 (13955)	shinobi tekko +1
00003684 (13956)	scorpion mittens +1
00003685 (13957)	yasha tekko
00003686 (13958)	mythril gauntlets +1
00003687 (13959)	gilt gauntlets
00003688 (13960)	beak gloves +1
00003689 (13961)	fighter's mufflers
0000368A (13962)	temple gloves
0000368B (13963)	healer's mitts
0000368C (13964)	wizard's gloves
0000368D (13965)	warlock's gloves
0000368E (13966)	rogue's armlets
0000368F (13967)	gallant gauntlets
00003690 (13968)	chaos gauntlets
00003691 (13969)	beast gloves
00003692 (13970)	choral cuffs
00003693 (13971)	hunter's bracers
00003694 (13972)	myochin kote
00003695 (13973)	ninja tekko
00003696 (13974)	drachen finger gauntlets
00003697 (13975)	evoker's bracers
00003698 (13976)	darksteel mufflers +1
00003699 (13977)	light gauntlets
0000369A (13978)	aiming bracelets
0000369B (13979)	silver bangles
0000369C (13980)	silver bangles +1
0000369D (13981)	turtle bangles
0000369E (13982)	turtle bangles +1
0000369F (13983)	gold bangles
000036A0 (13984)	gold bangles +1
000036A1 (13985)	platinum bangles
000036A2 (13986)	platinum bangles +1
000036A3 (13987)	coral bangles
000036A4 (13988)	merman's bangles
000036A5 (13989)	darksteel gauntlets +1
000036A6 (13990)	coral finger gauntlets +1
000036A7 (13991)	dragon finger gauntlets +1
000036A8 (13992)	feral gloves
000036A9 (13993)	torama gloves
000036AA (13994)	darksteel mittens +1
000036AB (13995)	merman's mittens
000036AC (13996)	kote +1
000036AD (13997)	battle bracers +1
000036AE (13998)	war gloves +1
000036AF (13999)	aristocrat's mitts
000036B0 (14000)	silk mitts +1
000036B1 (14001)	iron finger gauntlets
000036B2 (14002)	iron finger gauntlets +1
000036B3 (14003)	steel finger gauntlets
000036B4 (14004)	steel finger gauntlets +1
000036B5 (14005)	monsoon tekko
000036B6 (14006)	zenith mitts
000036B7 (14007)	zenith mitts +1
000036B8 (14008)	carapace gauntlets
000036B9 (14009)	carapace gauntlets +1
000036BA (14010)	black gadlings
000036BB (14011)	onyx gadlings
000036BC (14012)	thick mufflers +1
000036BD (14013)	Grand Temple Knight's gauntlets
000036BE (14014)	Grand Temple Knight's bangles
000036BF (14015)	Praefectus's gloves
000036C0 (14016)	Master Caster's mitts
000036C1 (14017)	Master Caster's bracelets
000036C2 (14018)	Gigas bracelets
000036C3 (14019)	Ogygos's bracelets
000036C4 (14020)	Enkelados's bracelets
000036C5 (14021)	Pallas's bracelets
000036C6 (14022)	Alkyoneus's bracelets
000036C7 (14023)	arhat's tekko
000036C8 (14024)	devotee's mitts
000036C9 (14025)	devotee's mitts +1
000036CA (14026)	hailstorm tekko
000036CB (14027)	hailstorm tekko +1
000036CC (14028)	arhat's tekko +1
000036CD (14029)	Royal Knight's mufflers +1
000036CE (14030)	Royal Knight's mufflers +2
000036CF (14031)	Bastokan mittens
000036D0 (14032)	Republic mittens
000036D1 (14033)	San d'Orian mufflers
000036D2 (14034)	Kingdom mufflers
000036D3 (14035)	Iron Musketeer's gauntlets +1
000036D4 (14036)	Iron Musketeer's gauntlets +2
000036D5 (14037)	San d'Orian gloves
000036D6 (14038)	Kingdom gloves
000036D7 (14039)	Bastokan finger gauntlets
000036D8 (14040)	Republic finger gauntlets
000036DB (14043)	Windurstian tekko
000036DC (14044)	Federation tekko
000036DD (14045)	Windurstian gloves
000036DE (14046)	Federation gloves
000036DF (14047)	Combat Caster's mitts +1
000036E0 (14048)	Combat Caster's mitts +2
000036E1 (14049)	Tactician Magician's cuffs +1
000036E2 (14050)	Tactician Magician's cuffs +2
000036E3 (14051)	alumine moufles
000036E4 (14052)	luisant moufles
000036E5 (14053)	trader's cuffs
000036E6 (14054)	baron's cuffs
000036E7 (14055)	unicorn mittens
000036E8 (14056)	unicorn mittens +1
000036E9 (14057)	ogre gloves +1
000036EA (14058)	crimson finger gauntlets
000036EB (14059)	blood finger gauntlets
000036ED (14061)	kaiser handschuhs
000036EE (14062)	Carbuncle mitts
000036EF (14063)	protecting bangles
000036F0 (14064)	sand gloves
000036F1 (14065)	garden bangles
000036F2 (14066)	Feronia's bangles
000036F3 (14067)	Tarasque mitts
000036F4 (14068)	vagabond's gloves
000036F5 (14069)	nomad's gloves
000036F6 (14070)	fisherman's gloves
000036F7 (14071)	angler's gloves
000036F8 (14072)	chocobo gloves
000036F9 (14073)	rider's gloves
000036FA (14074)	Tarasque mitts +1
000036FB (14075)	Andvaranauts
000036FC (14076)	hecatomb mittens
000036FD (14077)	hecatomb mittens +1
000036FE (14078)	errant cuffs
000036FF (14079)	mahatma cuffs
00003700 (14080)	strider boots
00003701 (14081)	pigaches +1
00003702 (14082)	shinobi kyahan +1
00003703 (14083)	scorpion leggings +1
00003704 (14084)	darksteel sollerets +1
00003706 (14086)	mythril leggings +1
00003707 (14087)	gilt sabatons
00003708 (14088)	beak ledelsens +1
00003709 (14089)	fighter's calligae
0000370A (14090)	temple gaiters
0000370B (14091)	healer's duckbills
0000370C (14092)	wizard's sabots
0000370D (14093)	warlock's boots
0000370E (14094)	rogue's poulaines
0000370F (14095)	gallant leggings
00003710 (14096)	chaos sollerets
00003711 (14097)	beast gaiters
00003712 (14098)	choral slippers
00003713 (14099)	hunter's socks
00003714 (14100)	myochin sune-ate
00003715 (14101)	ninja kyahan
00003716 (14102)	drachen greaves
00003717 (14103)	evoker's pigaches
00003718 (14104)	battle boots +1
00003719 (14105)	darksteel sabatons +1
0000371A (14106)	coral greaves +1
0000371B (14107)	dragon greaves +1
0000371C (14108)	feral ledelsens
0000371D (14109)	torama ledelsens
0000371E (14110)	darksteel leggings +1
0000371F (14111)	merman's leggings
00003720 (14112)	sune-ate +1
00003721 (14113)	war boots +1
00003722 (14114)	aristocrat's pumps
00003723 (14115)	silk pumps +1
00003724 (14116)	opaline boots
00003725 (14117)	rusty leggings
00003726 (14118)	iron greaves
00003727 (14119)	iron greaves +1
00003728 (14120)	steel greaves
00003729 (14121)	steel greaves +1
0000372A (14122)	monsoon kyahan
0000372B (14123)	zenith pumps
0000372C (14124)	zenith pumps +1
0000372D (14125)	ceremonial boots
0000372E (14126)	wedding boots
0000372F (14127)	thick sollerets +1
00003730 (14128)	kung fu shoes
00003731 (14129)	arhat's sune-ate
00003732 (14130)	wulong shoes
00003733 (14131)	wulong shoes +1
00003734 (14132)	winged boots
00003735 (14133)	winged boots +1
00003736 (14134)	air solea
00003737 (14135)	air solea +1
00003738 (14136)	arhat's sune-ate +1
00003739 (14137)	Royal Knight's sollerets +1
0000373A (14138)	Royal Knight's sollerets +2
0000373B (14139)	Bastokan leggings
0000373C (14140)	Republic leggings
0000373D (14141)	San d'Orian sollerets
0000373E (14142)	Kingdom sollerets
0000373F (14143)	Iron Musketeer's sabatons +1
00003740 (14144)	Iron Musketeer's sabatons +2
00003741 (14145)	San d'Orian boots
00003742 (14146)	Kingdom boots
00003743 (14147)	Bastokan greaves
00003744 (14148)	Republic greaves
00003745 (14149)	San d'Orian clogs
00003746 (14150)	Kingdom clogs
00003747 (14151)	Windurstian kyahan
00003748 (14152)	Federation kyahan
00003749 (14153)	Windurstian gaiters
0000374A (14154)	Federation gaiters
0000374B (14155)	Combat Caster's shoes +1
0000374C (14156)	Combat Caster's shoes +2
0000374D (14157)	Tactician Magician's pigaches +1
0000374E (14158)	Tactician Magician's pigaches +2
0000374F (14159)	ogre ledelsens +1
00003750 (14160)	crimson greaves
00003751 (14161)	blood greaves
00003753 (14163)	kaiser schuhs
00003754 (14164)	inferno sabots
00003755 (14165)	inferno sabots +1
00003756 (14166)	desert boots
00003757 (14167)	desert boots +1
00003758 (14168)	dune boots
00003759 (14169)	vagabond's boots
0000375A (14170)	nomad's boots
0000375B (14171)	fisherman's boots
0000375C (14172)	angler's boots
0000375D (14173)	chocobo boots
0000375E (14174)	rider's boots
0000375F (14175)	armada sollerets
00003760 (14176)	field boots
00003761 (14177)	worker boots
00003762 (14178)	rasetsu sune-ate
00003763 (14179)	rasetsu sune-ate +1
00003764 (14180)	hecatomb leggings
00003765 (14181)	hecatomb leggings +1
00003766 (14182)	errant pigaches
00003767 (14183)	mahatma pigaches
00003768 (14184)	shura sune-ate
00003769 (14185)	shura sune-ate +1
0000376A (14186)	dragon leggings
0000376B (14187)	dragon leggings +1
0000376C (14188)	dusk ledelsens +1
0000376D (14189)	austere sabots
0000376E (14190)	penance sabots
0000376F (14191)	heroic boots
00003770 (14192)	heroic boots +1
00003771 (14193)	gem sabatons
00003772 (14194)	gavial greaves +1
00003773 (14195)	waders
00003774 (14196)	dance shoes
00003775 (14197)	dance shoes +1
00003776 (14198)	marine M boots
00003777 (14199)	marine F boots
00003778 (14200)	wood M ledelsens
00003779 (14201)	wood F ledelsens
0000377A (14202)	creek M clomps
0000377B (14203)	creek F clomps
0000377C (14204)	river gaiters
0000377D (14205)	dune sandals
0000377E (14206)	garrison boots
0000377F (14207)	noct gaiters +1
00003780 (14208)	scorpion subligar +1
00003781 (14209)	darksteel breeches +1
00003783 (14211)	mythril cuisses +1
00003784 (14212)	gilt cuisses
00003785 (14213)	beak trousers +1
00003786 (14214)	fighter's cuisses
00003787 (14215)	temple hose
00003788 (14216)	healer's pantaloons
00003789 (14217)	wizard's tonban
0000378A (14218)	warlock's tights
0000378B (14219)	rogue's culottes
0000378C (14220)	gallant breeches
0000378D (14221)	chaos flanchard
0000378E (14222)	beast trousers
0000378F (14223)	choral cannions
00003790 (14224)	hunter's braccae
00003791 (14225)	myochin haidate
00003792 (14226)	ninja hakama
00003793 (14227)	drachen brais
00003794 (14228)	evoker's spats
00003795 (14229)	darksteel cuisses +1
00003796 (14230)	coral cuisses +1
00003797 (14231)	dragon cuisses +1
00003798 (14232)	feral trousers
00003799 (14233)	torama trousers
0000379A (14234)	darksteel subligar +1
0000379B (14235)	merman's subligar
0000379C (14236)	haidate +1
0000379D (14237)	battle hose +1
0000379E (14238)	war brais +1
0000379F (14239)	aristocrat's slacks
000037A0 (14240)	silk slacks +1
000037A2 (14242)	rusty subligar
000037A3 (14243)	iron cuisses
000037A4 (14244)	iron cuisses +1
000037A5 (14245)	steel cuisses
000037A6 (14246)	steel cuisses +1
000037A7 (14247)	zenith slacks
000037A8 (14248)	zenith slacks +1
000037A9 (14249)	opaline hose
000037AA (14250)	ceremonial hose
000037AB (14251)	wedding hose
000037AC (14252)	thick breeches +1
000037AD (14253)	arhat's hakama
000037AE (14254)	master's sitabaki
000037AF (14255)	master's sitabaki +1
000037B0 (14256)	arhat's hakama +1
000037B3 (14259)	Bastokan subligar
000037B4 (14260)	Republic subligar
000037B5 (14261)	Royal Squire's breeches +1
000037B6 (14262)	Royal Squire's breeches +2
000037B7 (14263)	Iron Musketeer's cuisses +1
000037B8 (14264)	Iron Musketeer's cuisses +2
000037B9 (14265)	San d'Orian trousers
000037BA (14266)	Kingdom trousers
000037BB (14267)	Bastokan cuisses
000037BC (14268)	Republic cuisses
000037BD (14269)	Windurstian sitabaki
000037BE (14270)	Federation sitabaki
000037BF (14271)	Windurstian brais
000037C0 (14272)	Federation brais
000037C1 (14273)	Windurstian slops
000037C2 (14274)	Federation slops
000037C3 (14275)	Combat Caster's slacks +1
000037C4 (14276)	Combat Caster's slacks +2
000037C5 (14277)	Tactician Magician's slops +1
000037C6 (14278)	Tactician Magician's slops +2
000037C7 (14279)	ogre trousers +1
000037C8 (14280)	crimson cuisses
000037C9 (14281)	blood cuisses
000037CB (14283)	kaiser diechlings
000037CC (14284)	northern jerkin
000037CD (14285)	tundra jerkin
000037CE (14286)	frog trousers
000037CF (14287)	luna subligar
000037D0 (14288)	clown's subligar
000037D1 (14289)	clown's subligar +1
000037D2 (14290)	vagabond's hose
000037D3 (14291)	nomad's hose
000037D4 (14292)	fisherman's hose
000037D5 (14293)	angler's hose
000037D6 (14294)	chocobo hose
000037D7 (14295)	rider's hose
000037D8 (14296)	armada breeches
000037D9 (14297)	field hose
000037DA (14298)	worker hose
000037DB (14299)	rasetsu hakama
000037DC (14300)	rasetsu hakama +1
000037DD (14301)	errant slops
000037DE (14302)	mahatma slops
000037DF (14303)	shura haidate
000037E0 (14304)	shura haidate +1
000037E1 (14305)	dragon subligar
000037E2 (14306)	dragon subligar +1
000037E3 (14307)	dusk trousers +1
000037E4 (14308)	hecatomb subligar
000037E5 (14309)	hecatomb subligar +1
000037E6 (14310)	austere slops
000037E7 (14311)	penance slops
000037E8 (14312)	gem cuisses
000037E9 (14313)	gavial cuisses +1
000037EA (14314)	garrison hose
000037EB (14315)	sha'ir seraweels
000037EC (14316)	sheikh seraweels
000037ED (14317)	barone cosciales
000037EE (14318)	conte cosciales
000037EF (14319)	bison kecks
000037F0 (14320)	brave's kecks
000037F1 (14321)	igqira lappas
000037F2 (14322)	genie lappas
000037F3 (14323)	noct brais
000037F4 (14324)	mist slacks
000037F5 (14325)	seer's slacks
000037F6 (14326)	garish slacks
000037F7 (14327)	shade tights
000037F8 (14328)	seer's slacks +1
000037F9 (14329)	eisendiechlings
000037FA (14330)	rubious slacks
000037FB (14331)	shade tights +1
000037FC (14332)	kampfdiechlings
000037FD (14333)	noct brais +1
000037FE (14334)	shinimusha haidate
000037FF (14335)	nokizaru hakama
00003802 (14338)	Bastokan harness
00003803 (14339)	Republic harness
00003804 (14340)	Royal Squire's chainmail +1
00003805 (14341)	Royal Squire's chainmail +2
00003806 (14342)	Iron Musketeer's cuirass +1
00003807 (14343)	Iron Musketeer's cuirass +2
00003808 (14344)	San d'Orian vest
00003809 (14345)	Kingdom vest
0000380A (14346)	Bastokan scale mail
0000380B (14347)	Republic scale mail
0000380C (14348)	San d'Orian tunic
0000380D (14349)	Kingdom tunic
0000380E (14350)	Windurstian gi
0000380F (14351)	Federation gi
00003810 (14352)	Windurstian doublet
00003811 (14353)	Federation doublet
00003812 (14354)	Combat Caster's cloak +1
00003813 (14355)	Combat Caster's cloak +2
00003814 (14356)	Iron Musketeer's Gambison +1
00003815 (14357)	Iron Musketeer's Gambison +2
00003816 (14358)	Royal Squire's robe +1
00003817 (14359)	Royal Squire's robe +2
00003818 (14360)	Royal Knight's cloak +1
00003819 (14361)	Royal Knight's cloak +2
0000381A (14362)	Tactician Magician's coat +1
0000381B (14363)	Tactician Magician's coat +2
0000381E (14366)	Ogre jerkin +1
0000381F (14367)	crimson scale mail
00003820 (14368)	blood scale mail
00003822 (14370)	kaiser cuirass
00003823 (14371)	armada hauberk
00003824 (14372)	cardinal vest
00003825 (14373)	bachelor vest
00003826 (14374)	field tunica
00003827 (14375)	worker tunica
00003828 (14376)	rasetsu samue
00003829 (14377)	rasetsu samue +1
0000382A (14378)	hecatomb harness
0000382B (14379)	hecatomb harness +1
0000382C (14380)	errant houppelande
0000382D (14381)	mahatma houppelande
0000382E (14382)	plastron
0000382F (14383)	plastron +1
00003830 (14384)	opaline dress
00003831 (14385)	ceremonial dress
00003832 (14386)	wedding dress
00003833 (14387)	shura togi
00003834 (14388)	shura togi +1
00003835 (14389)	dragon harness
00003836 (14390)	dragon harness +1
00003837 (14391)	dusk jerkin +1
00003838 (14392)	carpenter's apron
00003839 (14393)	blacksmith's apron
0000383A (14394)	goldsmith's apron
0000383B (14395)	weaver's apron
0000383C (14396)	tanner's apron
0000383D (14397)	boneworker's apron
0000383E (14398)	alchemist's apron
0000383F (14399)	culinarian's apron
00003840 (14400)	fisherman's apron
00003841 (14401)	duende cotehardie
00003842 (14402)	nokizaru gi
00003843 (14403)	rapparee harness
00003844 (14404)	shinimusha hara-ate
00003845 (14405)	wyvern mail
00003846 (14406)	shikaree aketon
00003847 (14407)	cerise doublet
00003848 (14408)	glamor jupon
00003849 (14409)	gloom breastplate
0000384A (14410)	nimbus doublet
0000384B (14411)	aikido gi
0000384C (14412)	parade cuirass
0000384D (14413)	gaudy harness
0000384E (14414)	sha'ir manteel
0000384F (14415)	sheikh manteel
00003850 (14416)	barone corazza
00003851 (14417)	conte corazza
00003852 (14418)	bison jacket
00003853 (14419)	brave's jacket
00003854 (14420)	igqira weskit
00003855 (14421)	genie weskit
00003856 (14422)	noct doublet
00003857 (14423)	mist tunic
00003858 (14424)	seer's tunic
00003859 (14425)	garish tunic
0000385A (14426)	shade harness
0000385B (14427)	seer's tunic +1
0000385C (14428)	Kingdom aketon
0000385D (14429)	Republic aketon
0000385E (14430)	Federation aketon
0000385F (14431)	eisenbrust
00003860 (14432)	rubious tunic
00003861 (14433)	shade harness +1
00003862 (14434)	noct doublet +1
00003863 (14435)	kampfbrust
00003864 (14436)	blessed briault
00003865 (14437)	hachiman domaru
00003866 (14438)	blessed briault +1
00003867 (14439)	hachiman domaru +1
00003868 (14440)	chasuble
00003869 (14441)	chasuble +1
0000386A (14442)	yasha samue +1
0000386B (14443)	vampire cloak
0000386C (14444)	alumine haubert
0000386D (14445)	luisant haubert
0000386E (14446)	trader's saio
0000386F (14447)	baron's saio
00003870 (14448)	unicorn harness
00003871 (14449)	unicorn harness +1
00003872 (14450)	Hume gilet
00003873 (14451)	Hume top
00003874 (14452)	Elvaan gilet
00003875 (14453)	Elvaan top
00003876 (14454)	Tarutaru maillot
00003877 (14455)	Mithra top
00003878 (14456)	Galka gilet
00003879 (14457)	Hume gilet +1
0000387A (14458)	Hume top +1
0000387B (14459)	Elvaan gilet +1
0000387C (14460)	Elvaan top +1
0000387D (14461)	Tarutaru maillot +1
0000387E (14462)	Mithra top +1
0000387F (14463)	Galka gilet +1
00003880 (14464)	trailer's tunica
00003881 (14465)	nanban kariginu
00003882 (14466)	Fomor tunic
00003883 (14467)	archer's jupon
00003884 (14468)	yinyang robe
00003885 (14469)	reverend mail
00003886 (14470)	assault breastplate
00003887 (14471)	Tarutaru top
00003888 (14472)	Tarutaru top +1
00003889 (14473)	fighter's lorica +1
0000388A (14474)	temple cyclas +1
0000388B (14475)	healer's briault +1
0000388C (14476)	wizard's coat +1
0000388D (14477)	warlock's tabard +1
0000388E (14478)	rogue's vest +1
0000388F (14479)	gallant surcoat +1
00003890 (14480)	chaos cuirass +1
00003891 (14481)	beast jackcoat +1
00003892 (14482)	choral justaucorps +1
00003893 (14483)	hunter's jerkin +1
00003894 (14484)	myochin domaru +1
00003895 (14485)	ninja chainmail +1
00003896 (14486)	drachen mail +1
00003897 (14487)	evoker's doublet +1
00003898 (14488)	homam corazza
00003899 (14489)	nashira manteel
0000389A (14490)	mana tunic
0000389B (14491)	mana cloak
0000389C (14492)	high mana cloak
0000389D (14493)	healing vest
0000389E (14494)	healing mail
0000389F (14495)	healing harness
000038A0 (14496)	healing justaucorps
000038A1 (14497)	high healing harness
000038A2 (14498)	crow jupon
000038A3 (14499)	raven jupon
000038A4 (14500)	warrior's lorica +1
000038A5 (14501)	melee cyclas +1
000038A6 (14502)	cleric's briault +1
000038A7 (14503)	sorcerer's coat +1
000038A8 (14504)	duelist's tabard +1
000038A9 (14505)	assassin's vest +1
000038AA (14506)	valor surcoat +1
000038AB (14507)	abyss cuirass +1
000038AC (14508)	monster jackcoat +1
000038AD (14509)	bard's justaucorps +1
000038AE (14510)	scout's jerkin +1
000038AF (14511)	saotome domaru +1
000038B0 (14512)	koga chainmail +1
000038B1 (14513)	wyrm mail +1
000038B2 (14514)	summoner's doublet +1
000038B3 (14515)	Hydra doublet
000038B4 (14516)	Hydra harness
000038B5 (14517)	Hydra haubert
000038B6 (14518)	Hydra jupon
000038B7 (14519)	dream robe
000038B8 (14520)	dream robe +1
000038B9 (14521)	magus jubbah
000038BA (14522)	corsair's frac
000038BB (14523)	puppetry tobe
000038BC (14524)	sipahi jawshan
000038BD (14525)	amir korazin
